Verb,Prep
балансировать,между
беречь,
быть,
быть,в
вести,
влезть,в
водить,
возникнуть,
возобновиться,
вступить,в
гордиться,
дарить,
дать,взамен
договориться,по
жертвовать,для
жить,в
жить,под сенью
забыть,о
заверить,в
завязать,
завязываться,
закрепить,
зиждиться,на основе
играть,в
иметь,
искать,
крепнуть,
лезть,в
навязать,
навязываться,
навязываться,в
начаться,
оборвать,
объединить,по принципу
окружить,
оставить,ради
остаться,в
ответить,
ответить,на
откреститься,от
отразиться,на
охладить,
перерасти,
подарить,в знак
поддерживаться,
пожертвовать,во имя
пожертвовать,
поклясться,в
понадеяться,на
потерять,
появиться,
предложить,взамен
прекратиться,
пренебрегать,
преодолеть,благодаря
прерваться,
претендовать,на
признаться,в
принуждать,к
развивать,
разорвать,
разочароваться,в
разрушаться,
разрушить,
разувериться,в
распасться,
рисковать,
свести,
связывать,
скрепить,
скрываться,ради
снискать,
состоять,в
сохранить,
спекулировать,на
стоять,за
углубляться,
укрепиться,
укреплять,
царить,
ценить,
