Verb,Prep
быть,
быть,предназначенным для целей
ввязываться,в
вести,на
вестись,
включиться,в
вмешиваться,в
внести,в
вовлечь,в
возглавить,
возобновить,
воодушевить,на
воодушевиться,
встать,на
вступить,в
выбыть,из
выжить,в
вызвать,на
вызвать,
выйти,из
вынудить,на
выступить,о
выступить,на
говорить,о
делать,под предлогом
ёрничать,на тему
живописать,
завершить,
завоевать,в
закалиться,в
закрывать,под предлогом
замирать,
звать,к
идти,
изображаться,
изобразить,
исключить,из
касаться,
мобилизоваться,на
направить,на
направить,
начаться,
обостриться,
обращать,на
объединить,под флагом
объединиться,в
объединиться,для
организовать,на
ослаблять,
ответить,
отдаться,
отличиться,по части
относиться,к
отразить,
пасть,в
перечислить,на
победить,в
погибнуть,в условиях
погибнуть,в
подготовиться,к
поддерживать,
подняться,на
подыматься,на
пойти,на
помалкивать,о
помогать,при условии
помогать,
помочь,в
посвятить,
предвидеться,
предназначаться,для целей
предстоять,
прекратиться,
преодолеть,путем
призвать,к
призвать,на
приостановить,
присоединиться,для
присоединиться,к
проводить,
продолжаться,
продолжить,
происходить,
протекать,
проявить,в
проявляться,в
развернуться,
развёртываться,
развиваться,в направлении
разгореться,
расти,
решаться,на
родиться,в
руководить,
содействовать,
сосредоточить,для
сосредоточиться,на
сотрудничать,в
уповать,в
употребить,на
усердствовать,в
усилиться,
уступить,в
утихнуть,
участвовать,в
шириться,
